"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"291",1,2,2,1,1,2,2,2,2,2,2,-16400,-2400,-200,-2000,-2800,-3000,-800,-5000,-400,0,-300,500,FALSE
"38",1,2,2,2,1,2,2,1,2,2,2,-10400,-1800,-100,0,200,-3000,200,-6000,-400,400,-400,500,FALSE
"39",1,2,2,2,1,2,2,2,1,2,2,-37600,-2600,-500,-5000,-200,-3000,-600,-12000,-400,-13200,-600,500,FALSE
"41",1,2,2,2,1,2,2,2,2,2,1,-34400,-2700,-100,-1000,200,-3000,-1600,-14000,-400,400,-700,-11500,FALSE
"65",1,1,2,1,1,2,2,2,2,2,2,-20000,-2300,-2000,-1500,-2700,-3000,-800,-7000,-400,-400,-400,500,FALSE
"74",1,1,2,2,1,2,2,1,2,2,2,-14400,-1700,-2100,500,100,-3000,200,-8000,-400,0,-500,500,FALSE
"75",1,1,2,2,1,2,2,2,1,2,2,-40000,-2500,-1700,-4500,-300,-3000,-600,-14000,-400,-12800,-700,500,FALSE
"77",1,1,2,2,1,2,2,2,2,2,1,-38400,-2600,-2100,-500,100,-3000,-1600,-16000,-400,0,-800,-11500,FALSE
"1231",1,2,2,1,1,2,2,1,2,2,2,-16400,-2000,-200,-1000,-2800,-3000,0,-7000,-400,0,-500,500,FALSE
"124",1,2,2,1,1,2,2,2,1,2,2,-42000,-2800,-600,-6000,-2400,-3000,-800,-13000,-400,-12800,-700,500,FALSE
"1261",1,2,2,1,1,2,2,2,2,2,1,-40400,-2900,-200,-2000,-2800,-3000,-1800,-15000,-400,0,-800,-11500,FALSE
"151",1,2,2,2,1,2,2,1,1,2,2,-37600,-2200,-500,-4000,-200,-3000,200,-14000,-400,-13200,-800,500,FALSE
"153",1,2,2,2,1,2,2,1,2,2,1,-34400,-2300,-100,0,200,-3000,-800,-16000,-400,400,-900,-11500,FALSE
"155",1,2,2,2,1,2,2,2,1,2,1,-61600,-3100,-500,-5000,-200,-3000,-1600,-22000,-400,-13200,-1100,-11500,FALSE
"207",1,1,2,1,1,2,2,1,2,2,2,-20000,-1900,-2000,-500,-2700,-3000,0,-9000,-400,-400,-600,500,FALSE
"208",1,1,2,1,1,2,2,2,1,2,2,-44000,-2700,-1600,-5500,-2300,-3000,-800,-15000,-400,-12400,-800,500,FALSE
"210",1,1,2,1,1,2,2,2,2,2,1,-44000,-2800,-2000,-1500,-2700,-3000,-1800,-17000,-400,-400,-900,-11500,FALSE
